id,name,realName
0,964,background,background
1,0,Haemorhous cassinii,Cassin's finch
2,1,Aramus guarauna,Limpkin
3,2,Rupornis magnirostris,Roadside hawk
4,3,Cyanocitta cristata,Blue jay
5,4,Cyanocitta stelleri,Steller's jay
6,5,Balearica regulorum,Grey crowned crane
7,6,Pyrocephalus rubinus,Scarlet flycatcher
8,7,Recurvirostra americana,American avocet
9,8,Ardeotis kori,Kori bustard
10,9,Pica nuttalli,Yellow-billed magpie
11,10,Perisoreus canadensis,Canada jay
12,11,Antigone canadensis,Sandhill crane
13,12,Parkesia noveboracensis,Northern waterthrush
14,13,Ardea herodias occidentalis,Ardea herodias occidentalis
15,14,Porzana carolina,Sora (bird)
16,15,Anas platyrhynchos diazi,Mexican duck
17,16,Motacilla cinerea,Grey wagtail
18,17,Empidonax difficilis,Pacific-slope flycatcher
19,18,Empidonax minimus,Least flycatcher
20,19,Empidonax fulvifrons,Buff-breasted flycatcher
21,20,Empidonax traillii,Willow flycatcher
22,21,Empidonax hammondii,Hammond's flycatcher
23,22,Empidonax occidentalis,Cordilleran flycatcher
24,23,Rallus limicola,Virginia rail
25,24,Grus grus,Common crane
26,25,Quiscalus major,Boat-tailed grackle
27,26,Branta leucopsis,Barnacle goose
28,27,Cyanocorax yucatanicus,Yucatan jay
29,28,Cyanocorax yncas,Inca jay
30,29,Oceanites oceanicus,Wilson's storm petrel
31,30,Quiscalus niger,Greater Antillean grackle
32,31,Psilorhinus morio,Brown jay
33,32,Megarynchus pitangua,Boat-billed flycatcher
34,33,Gallinula tenebrosa,Dusky moorhen
35,34,Gallus gallus domesticus,Chicken
36,35,Numida meleagris,Helmeted guineafowl
37,36,Junco hyemalis caniceps,Junco hyemalis caniceps
38,37,Tyrannus vociferans,Cassin's kingbird
39,38,Tyrannus tyrannus,Eastern kingbird
40,39,Tyrannus forficatus,Scissor-tailed flycatcher
41,40,Tyrannus crassirostris,Thick-billed kingbird
42,41,Tyrannus verticalis,Western kingbird
43,42,Tyrannus savana,Fork-tailed flycatcher
44,43,Gallirallus australis,Weka
45,44,Calocitta formosa,White-throated magpie-jay
46,45,Calocitta colliei,Black-throated magpie-jay
47,46,Fulica americana,American coot
48,47,Pachyramphus aglaiae,Rose-throated becard
49,48,Buteo lagopus,Rough-legged buzzard
50,49,Cygnus atratus,Black swan
51,50,Philesturnus rufusater,North Island saddleback
52,51,Larus marinus,Great black-backed gull
53,52,Pitangus sulphuratus,Great kiskadee
54,53,Anas rubripes,American black duck
55,54,Anthus novaeseelandiae novaeseelandiae,New Zealand pipit
56,55,Sayornis phoebe,Eastern phoebe
57,56,Sayornis nigricans,Black phoebe
58,57,Tityra semifasciata,Masked tityra
59,58,Dryocopus lineatus,Lineated woodpecker
60,59,Porphyrio melanotus,Australasian swamphen
61,60,Anas bahamensis,White-cheeked pintail
62,61,Egretta novaehollandiae,White-faced heron
63,62,Anas crecca carolinensis,Green-winged teal
64,63,Alectoris chukar,Chukar partridge
65,64,Tachybaptus dominicus,Least grebe
66,65,Artemisiospiza belli,Bell's sparrow
67,66,Gallus gallus,Red junglefowl
68,67,Cardinalis sinuatus,Pyrrhuloxia
69,68,Cardinalis cardinalis,Northern cardinal
70,69,Melospiza lincolnii,Lincoln's sparrow
71,70,Podilymbus podiceps,Pied-billed grebe
72,71,Melospiza georgiana,Swamp sparrow
73,72,Meleagris gallopavo,Wild turkey
74,73,Meleagris ocellata,Ocellated turkey
75,74,Lagopus lagopus,Willow ptarmigan
76,75,Spizella atrogularis,Black-chinned sparrow
77,76,Pyrrhocorax graculus,Alpine chough
78,77,Spizella breweri,Brewer's sparrow
79,78,Sialia currucoides,Mountain bluebird
80,79,Spizella pusilla,Field sparrow
81,80,Anas superciliosa,Pacific black duck
82,81,Passerella iliaca,Fox sparrow
